1506641	*Japanisch	*Lesung	<MGr: <TrE: *DtschUebers. (WaDokuDa: japanisch-deutsche Woerterbuch-Datei vom 26.06.2007) SpecChar POS.>>	Wortart	HE				*Lesung
3940510	I [1]	wie entsprechende Zahl [2]	(<POS: N.>) <MGr: <TrE: <HW f: Eins>>; <TrE: <HW f: I>>; <TrE: <HW f: 1>> (<Def.: röm. Ziffer für „<Topic: 1>“>)>.	名	HE				wie entsprechende Zahl
4190510	V [1]	wie entsprechende Zahl [5]	(<POS: N.>) <MGr: <TrE: <HW f: Ⅴ>>; <TrE: <HW f: ⅴ>>; <TrE: <HW f: V>>; <TrE: römische <HW f: Ziffer> Fünf>>	名	HE				wie entsprechende Zahl
6593503	あ [1]; ア	あ [1]	(<POS: Interj.>) (<Usage: onomat.>) [1]<MGr: <TrE: ah!>; <TrE: ach!>; <TrE: ach ja!>; <TrE: huch!>; <TrE: oh!>; <TrE: oje!>; <TrE: nein!>; <TrE: oh nein!> (<Expl.: Ausruf bei Überraschung, Erstaunen, Erschrecken, Schmerz, Enttäuschung>)> // <MGr: <TrE: ach, ja>; <TrE: ja>; <TrE: ja, richtig>; <TrE: ja, genau>; <TrE: äh>; <TrE: ähm> (<Expl.: Ausruf, wenn einem etwas wieder einfällt>)>. (<Ref.: ⇒ <Transcr.: ă> <Jap.: あっ><DaID: 5646032>>；<Ref.: ⇒ <Transcr.: ā> <Jap.: ああ><DaID: 9277371>>). [2] <MGr: <TrE: he>; <TrE: heh>; <TrE: hallo> (<Expl.: Ausruf, um jmdn. anzusprechen>；<Ref.: ⇒ <Transcr.: ā> <Jap.: ああ><DaID: 9277371>>)>. [3]<MGr: <TrE: ja!>; <TrE: jawohl!>; <TrE: hier!> (<Expl.: Antwort darauf, dass man gerufen wird>；<Ref.: ⇒ <Transcr.: ā> <Jap.: ああ><DaID: 9277371>>)>. (<KimuLem: 1>；<DIJ: 33>).	感	HE		あ		あ
6843503	ああ [1]; あゝ	ああ [1]	(<POS: Adv.>) <MGr: <TrE: <Prior_1>so>; <TrE: auf jene Art>>. (<Audio: ā_Ac1>).	副	HE		ああ		ああ
9277371	ああ [2]; アア [1] (嗚呼; 嗟; 噫; 鳴呼)	ああ [2]	(<POS: Interj.>) [1]<MGr: <TrE: <Prior_1><JLPT2>ach!>; <TrE: ah!>; <TrE: <Prior_1><JLPT2>o!>; <TrE: oh!>; <TrE: oh weh!> (<Expl.: als Ausdruck der Emotion – insbes. Rührung, Klage, Trauen, Freude und Zweifel>)> // <MGr: <TrE: ah!>; <TrE: puh!>; <TrE: Glück gehabt!> (<Expl.: als Ausdruck der Erleichterung>)>. [2]<MGr: (<Descr.: als direkte Anrede>) <TrE: ach, entschuldigen Sie!>; <TrE: ach, hallo!>>. [3] <MGr: (<Descr.: als Ausdruck der Zustimmung>) <TrE: ja>; <TrE: genau>; <TrE: richtig>; <TrE: so ist es!>> // <MGr: (<Descr.: als Antwort auf eine unverneinte Entscheidungsfrage>) <TrE: ja>> // <MGr: <TrE: doch!>; <TrE: nein!> (<Expl.: als Antwort auf eine verneinte Frage>)>. (<Audio: ā_Ac1>). (<KimuLem: 1>).	感	HE		ああ; 〈嗚呼〉; ×嗟; ×噫		ああ
9527371	ああいう; ああ言う	ああいう	(<POS: Adn.>) <MGr: <TrE: ein solches>; <TrE: ein solcher>>.	連体	HE		ああ言う		ああ[WaSep]いう
2154020	ああいう男	ああいうおとこ	<MGr: <TrE: ein solcher <HW m: Mann>>; <TrE: ein <HW m: Mann> dieser Art>>.	名	ああいう; ああ言う	Verwendungsbeispiel		<ああいう>男	<ああ[WaSep]いう>　おとこ
4837889	ああいう風に; ああいうふうに	ああいうふうに	<MGr: <TrE: auf diese Weise>; <TrE: so>; <TrE: wie dieses>>.	副	ああいう; ああ言う	Verwendungsbeispiel	ああいう風に	<ああいう>風に	<ああ[WaSep]いう>　ふう　に
7490882	アーヴィング	あーう゛ぃんぐ	(<POS: N.>) {<Dom.: Persönlichk.>} [1]<MGr: <TrE: Washington <FamN.: Irving>> (<Def.: amerik. Schriftsteller>；<BirthDeath: 1783–1859>)>. [2]<MGr: <TrE: John <FamN.: Irving>> (<Def.: amerik. Schriftsteller>；<BirthDeath: 1942–>)>.	名	HE				[Gr]あーう゛ぃんぐ
